,Text,Hashtag,CleanTweet
1024,"rt @senfeinstein today the nation is joining together for a moment of silence to honor the 100,000+ coronavirus victims. as we see anger and frustration spread across the country, it’s more important now than ever that we come together and show that we can stand as one nation, united. https://twitter.com/senbrianschatz/status/1267202803392528385 qt @senbrianschatz please consider participating in this moment of silence tomorrow, june 1st at 12pm. this tragedy must be marked with shared grief, moral clarity, and national unity. please share with your family and friends — mahalo. #weremember http://pbs.twimg.com/media/ezyckyxwsasvvb6.jpg",['#weremember'],rt  senfeinstein today the nation is joining together for a moment of silence to honor the          coronavirus victims  as we see anger and frustration spread across the country  it s more important now than ever that we come together and show that we can stand as one nation  united
1025,"rt @pattymurray join me and others across the country tomorrow, monday, june 1 at 12pm et/9am pt for a moment of silence to remember the over 100,000 american lives lost to the coronavirus. #weremember",['#weremember'],rt  pattymurray join me and others across the country tomorrow  monday  june   at   pm et  am pt for a moment of silence to remember the over         american lives lost to the coronavirus   weremember
1026,"rt @pattymurray amid the deep pain and anger we see throughout our country, today #weremember &amp; honor the 100,000+ loved ones lost to coronavirus. in their memory, let's not forget to take care of each other.",['#weremember'],rt  pattymurray amid the deep pain and anger we see throughout our country  today  weremember  amp  honor the          loved ones lost to coronavirus  in their memory  let s not forget to take care of each other
1027,"rt @senbobcasey at noon i'll be joining senators @chriscoons @brianschatz and our @senatedems colleagues in a moment of silence for the over 100,000 american lives lost to covid-19 in support of the millions of loved ones thrown into mourning. #weremember https://www.nytimes.com/interactive/2020/05/24/us/us-coronavirus-deaths-100000.html",['#weremember'],rt  senbobcasey at noon i ll be joining senators  chriscoons  brianschatz and our  senatedems colleagues in a moment of silence for the over         american lives lost to covid    in support of the millions of loved ones thrown into mourning   weremember
1028,"rt @senduckworth last week, we surpassed the tragic, painful milestone of 100,000 innocent lives lost forever to #covid19. this week, we will lose thousands more.  
 
today, #weremember them with a moment of silence—honoring their lives &amp; reflecting on this dark chapter in our history.","['#covid19', '#weremember']",rt  senduckworth last week  we surpassed the tragic  painful milestone of         innocent lives lost forever to  covid    this week  we will lose thousands more      today   weremember them with a moment of silence honoring their lives  amp  reflecting on this dark chapter in our history
1029,"rt @senschumer we’re recognizing a moment of silence to remember the more than 100,000 american lives we’ve lost to covid-19. these are parents and children, family members and friends, and people in new york and across this country. we’re praying for them and their families.

#weremember https://twitter.com/senatedems/status/1267486087481561089 qt @senatedems we're holding a moment of silence to remember the more than 100,000 american lives lost to covid-19. #weremember https://twitter.com/i/broadcasts/1owxwqxnzvagq","['#weremember', '#weremember']",rt  senschumer we re recognizing a moment of silence to remember the more than         american lives we ve lost to covid     these are parents and children  family members and friends  and people in new york and across this country  we re praying for them and their families    weremember
1030,"rt @amprog today, #weremember the 100,000 american lives lost to covid19.

we mourn with communities of color disproportionately impacted by the virus. we thank health care workers who risk their lives caring for the sick.

at 12pm, we will pause our feed for a national moment of silence.",['#weremember'],rt  amprog today   weremember the         american lives lost to covid     we mourn with communities of color disproportionately impacted by the virus  we thank health care workers who risk their lives caring for the sick   at   pm  we will pause our feed for a national moment of silence
1031,"today, #weremember the 100,000 american lives lost to covid-19. in hawaiʻi, we mourn the loss of 17 of our own.",['#weremember'],today   weremember the         american lives lost to covid     in hawai i  we mourn the loss of    of our own
1080,"over 100,000 lives have been lost in this country because of covid-19. today we honor them—doctors, nurses, bus drivers, grocery store workers, mother, fathers, siblings, friends, neighbors, and loved ones. their lives will never be forgotten. #lament100k #dayofmourning http://pbs.twimg.com/media/ezcdzu8waaqny2z.jpg","['#lament100k', '#dayofmourning']",over         lives have been lost in this country because of covid     today we honor them doctors  nurses  bus drivers  grocery store workers  mother  fathers  siblings  friends  neighbors  and loved ones  their lives will never be forgotten   lament   k  dayofmourning
1100,"north texans have tragically lost many friends, family and neighbors to covid-19. join me at 11am ct today for a moment of silence. we'll honor the lives of the over 100,000 who we’ve lost to this virus, as we all pledge to work together to save lives. #dayofmourning #lament100k","['#dayofmourning', '#lament100k']",north texans have tragically lost many friends  family and neighbors to covid     join me at   am ct today for a moment of silence  we ll honor the lives of the over         who we ve lost to this virus  as we all pledge to work together to save lives   dayofmourning  lament   k
1110,"amid the deep pain and anger we see throughout our country, today #weremember &amp; honor the 100,000+ loved ones lost to coronavirus. in their memory, let's not forget to take care of each other.",['#weremember'],amid the deep pain and anger we see throughout our country  today  weremember  amp  honor the          loved ones lost to coronavirus  in their memory  let s not forget to take care of each other
1112,"#pridemonth may look a bit different this year, but the fight toward equality endures for the lgbtqia+ community and so many in washington state and across our country. know i will always be your ally in the long march towards justice.",['#pridemonth'],pridemonth may look a bit different this year  but the fight toward equality endures for the lgbtqia  community and so many in washington state and across our country  know i will always be your ally in the long march towards justice
1130,"over 100,000 lives have been lost in this country because of covid-19. today we honor them. please join me for a moment of silence at noon. #lament100k",['#lament100k'],over         lives have been lost in this country because of covid     today we honor them  please join me for a moment of silence at noon   lament   k
1140,"doctors.
nurses.
bus drivers.
cashiers.
mothers.
fathers.
siblings.
grandparents.
aunts.
uncles.
cousins.
friends.
neighbors.
colleagues.

these are the over 100,000 lives lost to #covid19. they will never be forgotten. #dayofmourning #lament100k","['#covid19', '#dayofmourning', '#lament100k']",doctors  nurses  bus drivers  cashiers  mothers  fathers  siblings  grandparents  aunts  uncles  cousins  friends  neighbors  colleagues   these are the over         lives lost to  covid    they will never be forgotten   dayofmourning  lament   k
1141,"the brutal slayings we’ve witnessed in recent weeks are almost too much to bear, but now more than ever we cannot be silent or turn our heads to tragedy. 

george floyd’s life mattered, breonna taylor’s life mattered, ahmaud arbery’s life mattered- all #blacklivesmatter",['#blacklivesmatter'],the brutal slayings we ve witnessed in recent weeks are almost too much to bear  but now more than ever we cannot be silent or turn our heads to tragedy    george floyd s life mattered  breonna taylor s life mattered  ahmaud arbery s life mattered  all  blacklivesmatter
1145,"today marks the first day of #pridemonth, a time to celebrate how far the #lgbtq+ community has come, and recognize how much more needs to be done. 

i’m proud to be a vocal ally of the lgbtq+ community in congress &amp; vow to keep fighting for equality, justice and inclusion. http://pbs.twimg.com/media/ezdasj1xsaegc93.jpg","['#pridemonth', '#lgbtq']",today marks the first day of  pridemonth  a time to celebrate how far the  lgbtq  community has come  and recognize how much more needs to be done    i m proud to be a vocal ally of the lgbtq  community in congress  amp  vow to keep fighting for equality  justice and inclusion
1148,"what is wrong with you? 

this country was built on the freedom of speech and the freedom of assembly. it was built on protestors standing up for their rights. 

stay out of our city. #blacklivesmatter https://twitter.com/abc/status/1267591223625351170 qt @abc breaking: ""if a city or state refuses to take the actions that are necessary to defend the life and property of their residents, then i will deploy the united states military and quickly solve the problem for them,"" pres. trump threatens. https://trib.al/4r9ezxc http://pbs.twimg.com/media/ezdjdknwaae9paj.jpg https://video.twimg.com/amplify_video/1267591183364247556/vid/320x320/wkeqcc-35jtixmma.mp4?tag=13",['#blacklivesmatter'],what is wrong with you    this country was built on the freedom of speech and the freedom of assembly  it was built on protestors standing up for their rights    stay out of our city   blacklivesmatter
1190,“they were not simply names on a list. they were us.” – new york times #dayofmourning http://pbs.twimg.com/media/ezcdrl-wsaamvhg.jpg,['#dayofmourning'],they were not simply names on a list  they were us     new york times  dayofmourning
1191,"today, i will be taking a moment of silence at noon to remember the over 100,000 lives that have been lost in this country due to covid-19. if you are able, i ask that you join me and help keep the memories of those who have passed, alive. #dayofmourning http://pbs.twimg.com/media/ezcdhpcxgaeviog.jpg",['#dayofmourning'],today  i will be taking a moment of silence at noon to remember the over         lives that have been lost in this country due to covid     if you are able  i ask that you join me and help keep the memories of those who have passed  alive   dayofmourning
1220,"one too many names.

#georgefloyd’s murder needs to be a call to action to once and for all put an end to racism, police brutality &amp; white supremacy in america.

#blacklivesmatter #saytheirnames #sayhername http://pbs.twimg.com/tweet_video_thumb/ezcdl0dwoaarako.jpg https://video.twimg.com/tweet_video/ezcdl0dwoaarako.mp4","['#georgefloyd', '#blacklivesmatter', '#saytheirnames', '#sayhername']",one too many names    georgefloyd s murder needs to be a call to action to once and for all put an end to racism  police brutality  amp  white supremacy in america    blacklivesmatter  saytheirnames  sayhername
1222,"today is the start of #pridemonth, a time to celebrate how far we‘ve come as a nation in recognizing the rights &amp; dignity of #lgbtq americans.

while this pride month will be different due to #covid19, let’s recommit ourselves to fighting for the full equality of all people. http://pbs.twimg.com/media/ezcgp9kwsaaglbv.jpg","['#pridemonth', '#lgbtq', '#covid19']",today is the start of  pridemonth  a time to celebrate how far we ve come as a nation in recognizing the rights  amp  dignity of  lgbtq americans   while this pride month will be different due to  covid    let s recommit ourselves to fighting for the full equality of all people
1223,"mañana a las 6pm hora local en houston vamos a tener una reunión virtual comunitaria con @telemundohou sobre #covid19 y la inequidad y desafios en la comunidad latina.

¡puedes ver esta reunión virtual en vivo mañana en https://facebook.com/telemundohouston! http://pbs.twimg.com/media/ezdulnzxyaqmruj.jpg",['#covid19'],ma ana a las  pm hora local en houston vamos a tener una reuni n virtual comunitaria con  telemundohou sobre  covid   y la inequidad y desafios en la comunidad latina    puedes ver esta reuni n virtual en vivo ma ana en
1245,"the 100,000 people we have lost to covid-19 are not just a statistic. they are our mothers, fathers, grandparents, neighbors, teachers, and friends. take a moment to remember and honor them today. #lament100k",['#lament100k'],the         people we have lost to covid    are not just a statistic  they are our mothers  fathers  grandparents  neighbors  teachers  and friends  take a moment to remember and honor them today   lament   k
1247,"hospitals in virginia are seeing big jumps in the number of asymptomatic people who test positive. without more testing, more lives will be lost. #dayofmourning https://www.virginiamercury.com/2020/06/01/hospital-data-reveals-extent-of-asymptomatic-covid-19-in-virginia/",['#dayofmourning'],hospitals in virginia are seeing big jumps in the number of asymptomatic people who test positive  without more testing  more lives will be lost   dayofmourning
1248,"more than 100,000 lives have been lost in this country because of covid-19. in virginia, we have lost 1,392 people. today we honor them. their lives will never be forgotten. #lament100k #dayofmourning","['#lament100k', '#dayofmourning']",more than         lives have been lost in this country because of covid     in virginia  we have lost       people  today we honor them  their lives will never be forgotten   lament   k  dayofmourning
1265,"doctors.
nurses.
bus drivers.
cashiers.
mothers.
fathers.
siblings.
grandparents.
aunts.
uncles.
cousins.
friends.
neighbors.
colleagues.
these are the over 100,000 lives lost. they will never be forgotten. #dayofmourning",['#dayofmourning'],doctors  nurses  bus drivers  cashiers  mothers  fathers  siblings  grandparents  aunts  uncles  cousins  friends  neighbors  colleagues  these are the over         lives lost  they will never be forgotten   dayofmourning
1270,"our country has lost over 100,000 lives to #covid19. today, on this national #dayofmourning, we take a moment of silence at noon to grieve and remember those who have passed due to this terrible pandemic.","['#covid19', '#dayofmourning']",our country has lost over         lives to  covid    today  on this national  dayofmourning  we take a moment of silence at noon to grieve and remember those who have passed due to this terrible pandemic
1290,"today we pause to honor the more than 100,000 american lives, including 720 rhode islanders, we’ve tragically lost to covid-19. too many families have had to grieve in solitude. #weremember",['#weremember'],today we pause to honor the more than         american lives  including     rhode islanders  we ve tragically lost to covid     too many families have had to grieve in solitude   weremember
1295,"today, #weremember the over 100,000 american lives lost to covid-19. during this national #dayofmourning, we pay tribute &amp; grieve together.","['#weremember', '#dayofmourning']",today   weremember the over         american lives lost to covid     during this national  dayofmourning  we pay tribute  amp  grieve together
1297,"on the first day of #pridemonth we should remember pride is more than just a celebration, it has deep roots in protest by people of color. i will continue to stand with the lgbtq+ community in the ongoing fight for equal rights. http://pbs.twimg.com/media/ezdfn6zxsaibq08.jpg",['#pridemonth'],on the first day of  pridemonth we should remember pride is more than just a celebration  it has deep roots in protest by people of color  i will continue to stand with the lgbtq  community in the ongoing fight for equal rights
1321,"#blacklivesmatter march in long branch on sunday was peaceful, which has been largely true for the new jersey protests against the murder of george floyd. pleased to see my former colleague, attorney general @keithellison is now prosecuting in minneapolis.
https://www.app.com/story/news/local/communitychange/2020/05/31/george-floyd-long-branch-protest-killing-black-man-police/5301565002/#",['#blacklivesmatter'],blacklivesmatter march in long branch on sunday was peaceful  which has been largely true for the new jersey protests against the murder of george floyd  pleased to see my former colleague  attorney general  keithellison is now prosecuting in minneapolis
1330,"rt @housedemocrats racism has plagued our nation since its founding.

we can and must do better. we can and must do more.

each of us—as individuals, families, communities and elected officials—has a responsibility to make change and fight for justice. #blacklivesmatter",['#blacklivesmatter'],rt  housedemocrats racism has plagued our nation since its founding   we can and must do better  we can and must do more   each of us as individuals  families  communities and elected officials has a responsibility to make change and fight for justice   blacklivesmatter
1335,rt @cagovernor live now: governor @gavinnewsom provides an update on demonstrations across the state and california's response to #covid19. https://twitter.com/i/broadcasts/1yqgoqooyqzxv,['#covid19'],rt  cagovernor live now  governor  gavinnewsom provides an update on demonstrations across the state and california s response to  covid
1385,"exhibit a https://twitter.com/deanobeidallah/status/1267534116909723650 qt @deanobeidallah not sure why we are not seeing media play this clip of trump from 2016 campaign where he trashes #blacklivesmatter as people looking for ""trouble"" and slams democrats for not saying ""white lives matter"" and demands people say ""all lives matter."" trumpism is white supremacy! http://pbs.twimg.com/ext_tw_video_thumb/1267534084110266368/pu/img/3j7-0zu9pkr2gk8b.jpg https://video.twimg.com/ext_tw_video/1267534084110266368/pu/vid/480x270/eg1cbiefmzcxm0fp.mp4?tag=10",['#blacklivesmatter'],exhibit a
1391,"we will continue to raise our voices against police brutality in this country because #blacklivesmatter . 

we demand justice. http://pbs.twimg.com/ext_tw_video_thumb/1267585852114456580/pu/img/lu_477ap3vvyeyph.jpg https://video.twimg.com/ext_tw_video/1267585852114456580/pu/vid/480x270/ae2o2x6f6m-g-bav.mp4?tag=10",['#blacklivesmatter'],we will continue to raise our voices against police brutality in this country because  blacklivesmatter     we demand justice
1416,"we need to give victims of abuse the support they need, especially as domestic violence shelters face increased strain during #covid19. i've joined @sengarypeters in calling for more funding for programs to support domestic violence survivors&amp;their pets ➡️ http://peters.senate.gov/newsroom/press-releases/peters-leads-bipartisan-push-to-increase-funding-for-programs-protecting-survivors-of-domestic-violence-and-pets-in-next-covid-19-relief-bill",['#covid19'],we need to give victims of abuse the support they need  especially as domestic violence shelters face increased strain during  covid    i ve joined  sengarypeters in calling for more funding for programs to support domestic violence survivors amp their pets
1466,"pride is about more than one parade or one month. it is about the love and acceptance you show towards yourself and others, no matter the circumstances. happy #pridemonth to our amazing pinellas lgbtq community! http://pbs.twimg.com/media/ezcnoehxsaecacf.jpg",['#pridemonth'],pride is about more than one parade or one month  it is about the love and acceptance you show towards yourself and others  no matter the circumstances  happy  pridemonth to our amazing pinellas lgbtq community
1472,"right call @govrondesantis! thank you for extending the eviction moratorium to july 1st - a necessary measure until all floridians unemployed from #covid19 are receiving the benefits guaranteed to them by cares act. https://twitter.com/mahoneysthename/status/1267605016220663809 qt @mahoneysthename breaking: @govrondesantis extends the moratorium on evictions and foreclosures until july 1. 

it was about to expire in a little more than 4 hours, at 12:01am tomorrow.",['#covid19'],right call  govrondesantis  thank you for extending the eviction moratorium to july  st   a necessary measure until all floridians unemployed from  covid   are receiving the benefits guaranteed to them by cares act
1513,"the state of florida’s #covid19 testing plan was due to hhs 30 days after the enactment of h.r. 266. the bill was signed into law on april 24, 2020.

today i wrote @govrondesantis urging him to release the state's plan to protect floridians and ensure transparency. http://pbs.twimg.com/media/ezdgo33woaeypsu.jpg http://pbs.twimg.com/media/ezdgpokwsaa5lm8.jpg",['#covid19'],the state of florida s  covid   testing plan was due to hhs    days after the enactment of h r       the bill was signed into law on april            today i wrote  govrondesantis urging him to release the state s plan to protect floridians and ensure transparency
1514,"let’s channel our outrage into action to address inequality – improve access to health care, expand opportunities in education, and boost wages. #blacklivesmatter",['#blacklivesmatter'],let s channel our outrage into action to address inequality   improve access to health care  expand opportunities in education  and boost wages   blacklivesmatter
1546,"during #pridemonth, we honor all those who have led the lgbtq+ movement closer to equality. their willingness to challenge the status quo, make americans uncomfortable, and engage in widespread protest is the reason so much progress has been made. http://pbs.twimg.com/media/ezdzys1woaie8tt.jpg",['#pridemonth'],during  pridemonth  we honor all those who have led the lgbtq  movement closer to equality  their willingness to challenge the status quo  make americans uncomfortable  and engage in widespread protest is the reason so much progress has been made
1555,"today, #weremember the 100,000 americans and 2,155 ohioans who have lost their lives to covid-19.
 
these are our friends and neighbors, our parents and grandparents, our daughters and sons. please join me in a moment of silence across the nation to honor their memory.",['#weremember'],today   weremember the         americans and       ohioans who have lost their lives to covid       these are our friends and neighbors  our parents and grandparents  our daughters and sons  please join me in a moment of silence across the nation to honor their memory
1565,"rt @donaldnorcross over 100,000 lives have been lost in this country because of #covid19.

doctors
nurses
bus drivers
cashiers
mothers
fathers
siblings
grandparents
aunts
uncles
cousins
friends
neighbors
colleagues

today we honor them. 
their lives will never be forgotten. #lament100k http://pbs.twimg.com/media/ezb-f6txqai5qlk.jpg","['#covid19', '#lament100k']",rt  donaldnorcross over         lives have been lost in this country because of  covid     doctors nurses bus drivers cashiers mothers fathers siblings grandparents aunts uncles cousins friends neighbors colleagues  today we honor them   their lives will never be forgotten   lament   k
1570,"over 100,000 lives have been lost in this country because of #covid19.

doctors
nurses
bus drivers
cashiers
mothers
fathers
siblings
grandparents
aunts
uncles
cousins
friends
neighbors
colleagues

today we honor them. 
their lives will never be forgotten. #lament100k http://pbs.twimg.com/media/ezb-f6txqai5qlk.jpg","['#covid19', '#lament100k']",over         lives have been lost in this country because of  covid     doctors nurses bus drivers cashiers mothers fathers siblings grandparents aunts uncles cousins friends neighbors colleagues  today we honor them   their lives will never be forgotten   lament   k
1580,on @cbsusvi interview with @mattknoedler discussing the impact of #covid19 in puerto rico's economy. http://pbs.twimg.com/media/ezb-fqswkaioc9h.jpg https://video.twimg.com/amplify_video/1267477501258932225/vid/480x270/9_3hqbwaeqygsldj.mp4?tag=13,['#covid19'],on  cbsusvi interview with  mattknoedler discussing the impact of  covid   in puerto rico s economy
1611,"today marks the beginning of #pridemonth, and while it's going to look very different, the fight for #lgbtq equality doesn't stop in this moment of crisis.","['#pridemonth', '#lgbtq']",today marks the beginning of  pridemonth  and while it s going to look very different  the fight for  lgbtq equality doesn t stop in this moment of crisis
1620,"today the nation is joining together for a moment of silence to honor the 100,000+ coronavirus victims. as we see anger and frustration spread across the country, it’s more important now than ever that we come together and show that we can stand as one nation, united. https://twitter.com/senbrianschatz/status/1267202803392528385 qt @senbrianschatz please consider participating in this moment of silence tomorrow, june 1st at 12pm. this tragedy must be marked with shared grief, moral clarity, and national unity. please share with your family and friends — mahalo. #weremember http://pbs.twimg.com/media/ezyckyxwsasvvb6.jpg",['#weremember'],today the nation is joining together for a moment of silence to honor the          coronavirus victims  as we see anger and frustration spread across the country  it s more important now than ever that we come together and show that we can stand as one nation  united
1626,"rt @countyofla get the latest on #covid19 in la county. tune in at 1 pm for updates:
http://facebook.com/countyofla
https://twitter.com/countyofla
http://youtube.com/c/countyoflosangelesnewsroom

or call to listen in:
-english: (888) 664-1451
-spanish: (888) 664-1453
-mandarin: (888) 664-1459
-korean: (888) 664-1454 http://pbs.twimg.com/media/ezccahtuyaepr9m.png",['#covid19'],rt  countyofla get the latest on  covid   in la county  tune in at   pm for updates
1670,"over 100,000 lives have been lost in this country because of #covid19. today we honor them – the doctors, nurses, families, friends, neighbors, colleagues – their lives will never be forgotten. #dayofmourning #lament100k http://pbs.twimg.com/media/ezb7wzmxyaijn37.jpg","['#covid19', '#dayofmourning', '#lament100k']",over         lives have been lost in this country because of  covid    today we honor them   the doctors  nurses  families  friends  neighbors  colleagues   their lives will never be forgotten   dayofmourning  lament   k
1671,"this moment is about justice. until we root out systemic racism from every institution in our country, there will be more work to be done. 

it was an honor to join reverend anderson, @realgorgeousdre, and other community leaders for the #georgefloyd vigil at @firstameseattle. http://pbs.twimg.com/amplify_video_thumb/1267601872690520070/img/gbcu6nddb1yc5czd.jpg https://video.twimg.com/amplify_video/1267601872690520070/vid/478x270/d9czvecxlgtdwgpl.mp4?tag=13",['#georgefloyd'],this moment is about justice  until we root out systemic racism from every institution in our country  there will be more work to be done    it was an honor to join reverend anderson   realgorgeousdre  and other community leaders for the  georgefloyd vigil at  firstameseattle
1672,"as we battle two pandemics at once – #covid19 virus, and the scourge of racism – president trump’s decision to invoke the insurrection act, and his inflammatory rhetoric, proves that he cannot lead us through these tumultuous times and unite the country. https://adamsmith.house.gov/press-releases?id=caf1a571-673c-482f-8e1f-06caab0d2ae8",['#covid19'],as we battle two pandemics at once    covid   virus  and the scourge of racism   president trump s decision to invoke the insurrection act  and his inflammatory rhetoric  proves that he cannot lead us through these tumultuous times and unite the country
1685,"over 100,000 lives have been lost in this country because of covid-19. today we honor them. their lives will never be forgotten. #lament100k http://pbs.twimg.com/media/ezb75wzwsacvftf.jpg",['#lament100k'],over         lives have been lost in this country because of covid     today we honor them  their lives will never be forgotten   lament   k
1690,"our community is reeling from the events of the past week – in addition to a global pandemic that has taken the lives of more than 100,000 americans. if you are able, join me at noon in observing a moment of silence as we remember their lives &amp; their stories. #dayofmourning http://pbs.twimg.com/media/ezb7t22x0aaqddj.jpg",['#dayofmourning'],our community is reeling from the events of the past week   in addition to a global pandemic that has taken the lives of more than         americans  if you are able  join me at noon in observing a moment of silence as we remember their lives  amp  their stories   dayofmourning
1691,"st. paul’s free meal service for families in need is available from 2-4pm today, and will resume its regular schedule tomorrow. more details ⬇
https://twitter.com/saintpaulparks/status/1267495699781955587?s=20 qt @saintpaulparks free meal pick-up is available for families in need from 2-4pm today, 6/1, at arlington hills cc(1200 payne ave), rice rec center(1021 marion st), dunning (arts-us -1221 marshall ave) &amp; @hallieqbrownctr. regular schedule to return tomorrow. more details at http://stpaul.gov/parks-covid19#meals http://pbs.twimg.com/media/ezclpyowkaat8sw.jpg",[],st  paul s free meal service for families in need is available from    pm today  and will resume its regular schedule tomorrow  more details
1701,nearly 40% of our nation’s #covid19 deaths are tied to nursing homes. vulnerable long-term care residents and workers have been crying out for help for months. the trump administration’s inexplicable delay in publishing #covid19 data from nursing homes is a national disgrace. http://pbs.twimg.com/media/ezcuasswaaentim.jpg,"['#covid19', '#covid19']",nearly     of our nation s  covid   deaths are tied to nursing homes  vulnerable long term care residents and workers have been crying out for help for months  the trump administration s inexplicable delay in publishing  covid   data from nursing homes is a national disgrace
1762,"doctors.
nurses.
bus drivers.
cashiers.
mothers.
fathers.
siblings.
grandparents.
aunts.
uncles.
cousins.
friends.
neighbors.
colleagues.

today, we observe this national day of mourning and lament to honor all those who have fallen to #covid19. 

#dayofmourning #lament100k","['#covid19', '#dayofmourning', '#lament100k']",doctors  nurses  bus drivers  cashiers  mothers  fathers  siblings  grandparents  aunts  uncles  cousins  friends  neighbors  colleagues   today  we observe this national day of mourning and lament to honor all those who have fallen to  covid       dayofmourning  lament   k
1775,"today we observe june 1st as the national day of mourning and lament for the 100,000+ lives lost in our country because of covid-19.
doctors.
nurses.
parents.
grandparents.
siblings.
friends.
neighbors.
they will never be forgotten. #dayofmourning",['#dayofmourning'],today we observe june  st as the national day of mourning and lament for the          lives lost in our country because of covid     doctors  nurses  parents  grandparents  siblings  friends  neighbors  they will never be forgotten   dayofmourning
1785,"#weremember the more than 100,000 americans who have lost their lives to covid-19. behind this staggering death toll are those mourning the loss of their loved ones. i encourage all granite staters to join me in honoring those impacted w/a national moment of silence today at noon",['#weremember'],weremember the more than         americans who have lost their lives to covid     behind this staggering death toll are those mourning the loss of their loved ones  i encourage all granite staters to join me in honoring those impacted w a national moment of silence today at noon
1786,".@senatemajldr must allow the senate to work on providing relief to our cities and states. our communities have been hard hit by #covid19 and face severe funding gaps that threaten their ability to provide essential services to residents. 
https://apnews.com/1aa31593925d9218a17c3c03ef4fcddd",['#covid19'],senatemajldr must allow the senate to work on providing relief to our cities and states  our communities have been hard hit by  covid   and face severe funding gaps that threaten their ability to provide essential services to residents
1840,"i took a moment of silence at noon today to remember the over 100,000 lives that have been lost in this country due to covid-19. if you are able, i ask that you join me and help keep the memories of those who have passed, alive. #dayofmourning http://pbs.twimg.com/media/ezcsaljxkaehqq6.jpg",['#dayofmourning'],i took a moment of silence at noon today to remember the over         lives that have been lost in this country due to covid     if you are able  i ask that you join me and help keep the memories of those who have passed  alive   dayofmourning
1841,"today marks the first day of #pridemonth. today, we reaffirm our commitment to fighting for lgbtq+ equality as we continue to fight for justice and civil rights for all people. http://pbs.twimg.com/media/ezcltjtwaai4pil.jpg",['#pridemonth'],today marks the first day of  pridemonth  today  we reaffirm our commitment to fighting for lgbtq  equality as we continue to fight for justice and civil rights for all people
1865,"we’re recognizing a moment of silence to remember the more than 100,000 american lives we’ve lost to covid-19. these are parents and children, family members and friends, and people in new york and across this country. we’re praying for them and their families.

#weremember https://twitter.com/senatedems/status/1267486087481561089 qt @senatedems we're holding a moment of silence to remember the more than 100,000 american lives lost to covid-19. #weremember https://twitter.com/i/broadcasts/1owxwqxnzvagq","['#weremember', '#weremember']",we re recognizing a moment of silence to remember the more than         american lives we ve lost to covid     these are parents and children  family members and friends  and people in new york and across this country  we re praying for them and their families    weremember
1875,"the outcry for justice among african americans has reached a boiling point. the malicious killing of george floyd by the hands of those who vow to protect us is intolerable. the officers who watched are just as guilty. we want, deserve, and demand justice.  #georgefloyd",['#georgefloyd'],the outcry for justice among african americans has reached a boiling point  the malicious killing of george floyd by the hands of those who vow to protect us is intolerable  the officers who watched are just as guilty  we want  deserve  and demand justice    georgefloyd
1881,"yesterday, i participated in a peaceful demonstration calling for justice for #georgefloyd. this week, i will be taking part in several forums led by leaders of our black community to listen and learn.

i see you, i hear you, and i’m with you.
https://www.mcall.com/news/breaking/mc-nws-peaceful-protests-in-the-valley-20200531-p6drqezxebgzfgvcll6euvneii-story.html",['#georgefloyd'],yesterday  i participated in a peaceful demonstration calling for justice for  georgefloyd  this week  i will be taking part in several forums led by leaders of our black community to listen and learn   i see you  i hear you  and i m with you
1985,"as we collectively grieve after a weekend of pain that has shed light on our nation’s deep fissures, may we take a moment to remember the over 100,000 lives that have been lost in this country due to covid-19. #dayofmourning",['#dayofmourning'],as we collectively grieve after a weekend of pain that has shed light on our nation s deep fissures  may we take a moment to remember the over         lives that have been lost in this country due to covid      dayofmourning
1990,"today, #weremember the over 100,000 american lives lost to covid-19. 

wisconsin mourns the loss of too many, including george matthews, a milwaukee advocate and army veteran who passed away as a result of complications from covid-19. #dayofmourning 
http://fox6now.com/2020/04/29/it-did-not-work-milwaukee-advocate-veteran-treated-with-hydroxychloroquine-before-death-due-to-covid-19/","['#weremember', '#dayofmourning']",today   weremember the over         american lives lost to covid       wisconsin mourns the loss of too many  including george matthews  a milwaukee advocate and army veteran who passed away as a result of complications from covid      dayofmourning
2015,"last night, i joined @shannonbream to discuss the urgent need to restore law and order across the nation, and the importance of building trust between the community and law enforcement.

watch: https://video.foxnews.com/v/6160740696001#sp=show-clips",[],last night  i joined  shannonbream to discuss the urgent need to restore law and order across the nation  and the importance of building trust between the community and law enforcement   watch
2040,"the murder of #georgefloyd is yet another example of police brutality &amp; the systemic racism that persists in our country. around the world and here in contra costa, people are rightfully &amp; peacefully protesting for racial justice.",['#georgefloyd'],the murder of  georgefloyd is yet another example of police brutality  amp  the systemic racism that persists in our country  around the world and here in contra costa  people are rightfully  amp  peacefully protesting for racial justice
2045,"remember their names. https://twitter.com/repsylviagarcia/status/1267485346612359175 qt @repsylviagarcia one too many names.

#georgefloyd’s murder needs to be a call to action to once and for all put an end to racism, police brutality &amp; white supremacy in america.

#blacklivesmatter #saytheirnames #sayhername http://pbs.twimg.com/tweet_video_thumb/ezcdl0dwoaarako.jpg https://video.twimg.com/tweet_video/ezcdl0dwoaarako.mp4","['#georgefloyd', '#blacklivesmatter', '#saytheirnames', '#sayhername']",remember their names
